Hugo Symbol	# of occurence within resources	OncoKB Annotated	OncoKB Oncogene	OncoKB TSG	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC
PWWP2A	1	No			No	No	No	No	No	Yes
RMI2	1	No			No	No	No	No	No	Yes
EXOSC6	1	No			No	Yes	No	No	No	No
LRRK2	1	No			No	Yes	No	No	No	No
LRIG3	1	No			No	No	No	No	No	Yes
MSI2	4	Yes			No	Yes	Yes	No	No	Yes
CANT1	1	No			No	No	No	No	No	Yes
HIST2H3C	2	Yes			No	No	Yes	No	No	No
ARID3C	1	No			No	No	No	Yes	No	No
AMER1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
VTI1A	1	No			No	No	No	No	No	Yes
SESN3	2	Yes			No	No	Yes	No	No	No
C15ORF65	1	No			No	No	No	No	No	Yes
TTL	2	No			No	Yes	No	No	No	Yes
BTLA	1	No			No	Yes	No	No	No	No
PPP4R2	2	Yes			No	No	Yes	No	No	No
ESCO2	1	No			No	No	No	Yes	No	No
SPRED1	2	Yes			No	No	Yes	No	No	No
ZNF384	2	No			No	Yes	No	No	No	Yes
ASXL1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
ARID2	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
WDR90	1	No			No	Yes	No	No	No	No
TET3	1	No			No	No	No	Yes	No	No
FLCN	6	Yes			Yes	Yes	Yes	Yes	No	Yes
MPEG1	1	No			No	No	No	Yes	No	No
RASGEF1A	1	No			No	Yes	No	No	No	No
JAZF1	2	No			No	Yes	No	No	No	Yes
RICTOR	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
NUTM1	2	Yes			No	No	No	No	No	Yes
NEGR1	2	Yes			No	No	Yes	No	No	No
MDS2	2	No			No	Yes	No	No	No	Yes
BCL9L	1	No			No	No	No	No	No	Yes
KSR2	1	No			No	No	No	Yes	No	No
HMGN2P46	1	No			No	No	No	No	No	Yes
P2RY8	3	No			No	Yes	No	Yes	No	Yes
HIST2H3A	1	Yes			No	No	No	No	No	No
RSPO2	1	No			No	No	No	No	No	Yes
ECT2L	2	No			No	Yes	No	No	No	Yes
MALAT1	1	No			No	No	No	No	No	Yes
KMT5A	3	Yes			No	No	Yes	Yes	No	No
SERP2	1	No			No	Yes	No	No	No	No
MYO18A	1	No			No	Yes	No	No	No	No
H3F3C	2	Yes			No	No	Yes	No	No	No
H3F3AP4	1	Yes			No	No	No	No	No	No
HIST2H3D	2	Yes			No	No	Yes	No	No	No
SFPQ	1	No			No	No	No	No	No	Yes
NUTM2A	2	No			No	Yes	No	No	No	Yes
NUTM2B	1	No			No	No	No	No	No	Yes
TEC	1	No			No	Yes	No	No	No	No
MEF2B	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
